Date,Return,Interest,Gold,Volatility,Price,Goldprice
1999-01-04,-0.01286139,0.0475,-0.000173777,0.129,1.617599482,287.7
1999-01-05,-0.006770943,0.0475,-0.002610286,0.1285,1.606683805,286.95
1999-01-06,-0.009434787,0.0475,0.00469362,0.1275,1.591596371,288.3
1999-01-07,-0.010292229,0.0475,0.010523689,0.129,1.575299307,291.35
1999-01-08,0.001418775,0.0475,0,0.1215,1.577535889,291.35
1999-01-11,-0.011762074,0.0475,0.00530596,0.13,1.559089492,292.9
1999-01-12,0.001716471,0.0475,-0.014962873,0.1225,1.561767921,288.55
1999-01-13,0.014789445,0.0475,-0.006257625,0.129,1.585037248,286.75
1999-01-14,-0.004428285,0.0475,-0.000697715,0.1275,1.57803377,286.55
1999-01-15,-0.000631014,0.0475,0.001743376,0.1305,1.577038322,287.05
1999-01-18,0.000315457,0.0475,-0.000348432,0.1275,1.577535889,286.95
1999-01-19,-0.007856734,0.0475,-0.000348554,0.127,1.565190171,286.85
1999-01-20,-0.001095033,0.0475,0.001741554,0.121,1.563477173,287.35
1999-01-21,-0.00747667,0.0475,0.001043478,0.118,1.551831161,287.65
1999-01-22,0.018165235,0.0475,-0.004180462,0.1185,1.580278129,286.45
1999-01-25,0.002373231,0.0475,0.00487551,0.123,1.584032948,287.85
1999-01-26,0.00079233,0.0475,-0.005923362,0.123,1.585288523,286.15
1999-01-27,0.005245184,0.0475,-0.011069251,0.119,1.593625498,283
1999-01-28,0.001914181,0.0475,0.004407235,0.122,1.596678908,284.25
1999-01-29,-0.006366407,0.0475,0.006662016,0.1165,1.586546089,286.15
1999-02-01,-0.009788521,0.0475,0.009391373,0.11125,1.571091909,288.85
1999-02-02,-0.005327496,0.0475,-0.001385762,0.114,1.562744179,288.45
1999-02-03,-0.00249727,0.0475,-0.003125003,0.113,1.558846454,287.55
1999-02-04,-0.01100701,0.0475,0.006585812,0.1105,1.5417823,289.45
1999-02-05,-0.003693448,0.0475,-0.003114189,0.1175,1.53609831,288.55
1999-02-08,0.000153622,0.0475,0.002077203,0.1185,1.536334306,289.15
1999-02-09,0.007092228,0.0475,-0.006070611,0.1195,1.54726907,287.4
1999-02-10,0.001548467,0.0475,-0.000522057,0.11925,1.549666822,287.25
1999-02-11,-0.004792465,0.0475,0.001565354,0.1205,1.542257866,287.7
1999-02-12,0.002470662,0.0475,0.006409723,0.1215,1.546072975,289.55
1999-02-15,0.001857011,0.0475,-0.000172697,0.1165,1.548946716,289.5
1999-02-16,0.013724482,0.0475,-0.015490694,0.1205,1.570351759,285.05
1999-02-17,0.002988128,0.0475,0,0.12375,1.575051189,285.05
1999-02-18,0.000630219,0.0475,0.004026264,0.1215,1.576044129,286.2
1999-02-19,-0.009880109,0.0475,0.007137292,0.121,1.560549313,288.25
1999-02-22,0.001561768,0.0475,-0.004171743,0.1205,1.562988434,287.05
